dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
ionosphere,mcar,naive,0.2,0.8816901408450704,0.01605880880421322,0.8429565217391305,0.017068747903975022,0.9142270548956851,0.012042121474701632,0.904695652173913,0.04082606380515152
ionosphere,mcar,naive,0.3,0.8704225352112676,0.02089069996364976,0.8269565217391305,0.029416184478323518,0.9069984257370551,0.014070573653956054,0.8742608695652174,0.057960288862859956
ionosphere,mcar,naive,0.4,0.8507042253521127,0.01889634910563201,0.8007826086956522,0.03420774959457495,0.8940206375968309,0.010365192500888283,0.8834782608695653,0.053331364172847374
ionosphere,mcar,naive,0.5,0.8676056338028169,0.007714402218382611,0.8211304347826086,0.008389163953198699,0.9054064181928396,0.005956576640065156,0.8841739130434784,0.05302708228421169
ionosphere,mcar,oracle,0.1,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.2,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.3,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.4,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.5,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,unlabeled,0.1,0.8901408450704225,0.03362629967975586,0.8549565217391304,0.040999561987609116,0.920086994497893,0.023974040595022263,0.8902608695652173,0.030319034554759573
ionosphere,mcar,unlabeled,0.2,0.876056338028169,0.027092090227706155,0.8349565217391305,0.037243895479294194,0.910801309722809,0.018210446962587647,0.8862608695652174,0.03750941910692737
ionosphere,mcar,unlabeled,0.3,0.8816901408450704,0.018896349105632055,0.8466086956521739,0.02993755315397172,0.9137421572821902,0.012638226470019097,0.8594782608695652,0.06756527334785889
ionosphere,mcar,unlabeled,0.4,0.8647887323943662,0.02136021251845513,0.8280869565217392,0.03329509463918273,0.901313497160406,0.014679412316664132,0.8332173913043478,0.06149799818464288
ionosphere,mcar,unlabeled,0.5,0.8647887323943662,0.025585777640260488,0.8262608695652174,0.02271837942515061,0.9013626312409879,0.020424631341880318,0.8576521739130435,0.05950139392499148
ionosphere,mnar,naive,0.1,0.8845070422535212,0.0183639504371906,0.850608695652174,0.028310324621085303,0.9155967348090488,0.012189132521356064,0.9177391304347827,0.03774654305081903
ionosphere,mnar,naive,0.2,0.8816901408450704,0.01889634910563205,0.8502608695652174,0.03072932012446597,0.9130627119758244,0.012143592080926116,0.9085217391304348,0.0319581484353798
