dataset,scheme,method,seed,missing_rate,status,accuracy,balanced_accuracy,f1,roc_auc,train_size,valid_size,test_size,n_features_before_preprocessing,n_features_after_preprocessing,observed_label_fraction_train,label_completion_method
breast_cancer,mar2,naive,42,0.4,ok,0.956140350877193,0.9503968253968254,0.9397590361445783,0.9937169312169312,341,114,114,30,25,0.5894428152492669,
breast_cancer,mar2,naive,42,0.5,ok,0.9473684210526315,0.933531746031746,0.925,0.990410052910053,341,114,114,30,25,0.4897360703812317,
breast_cancer,mar2,naive,43,0.1,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9834656084656085,341,114,114,30,24,0.9032258064516129,
breast_cancer,mar2,naive,43,0.2,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.980489417989418,341,114,114,30,24,0.8211143695014663,
breast_cancer,mar2,naive,43,0.3,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.980489417989418,341,114,114,30,24,0.6920821114369502,
breast_cancer,mar2,naive,43,0.4,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9785052910052909,341,114,114,30,24,0.6099706744868035,
breast_cancer,mar2,naive,43,0.5,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9808201058201058,341,114,114,30,24,0.501466275659824,
breast_cancer,mar2,naive,44,0.1,ok,0.956140350877193,0.9454365079365079,0.9382716049382716,0.992063492063492,341,114,114,30,25,0.9002932551319648,
breast_cancer,mar2,naive,44,0.2,ok,0.956140350877193,0.9454365079365079,0.9382716049382716,0.992063492063492,341,114,114,30,25,0.8093841642228738,
breast_cancer,mar2,naive,44,0.3,ok,0.956140350877193,0.9454365079365079,0.9382716049382716,0.992063492063492,341,114,114,30,25,0.7067448680351907,
breast_cancer,mar2,naive,44,0.4,ok,0.956140350877193,0.9404761904761905,0.9367088607594937,0.9890873015873016,341,114,114,30,25,0.6011730205278593,
breast_cancer,mar2,naive,44,0.5,ok,0.9122807017543859,0.8859126984126984,0.868421052631579,0.9808201058201058,341,114,114,30,25,0.5131964809384164,
breast_cancer,mar2,naive,45,0.1,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9943783068783069,341,114,114,30,24,0.9149560117302052,
breast_cancer,mar2,naive,45,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9947089947089948,341,114,114,30,24,0.8181818181818182,
breast_cancer,mar2,naive,45,0.3,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9933862433862434,341,114,114,30,24,0.718475073313783,
breast_cancer,mar2,naive,45,0.4,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.6158357771260997,
